CGUID,Relatioship,CGAge,CGSex
1390,4,50,2
1391,3,52,1
1392,3,51,1
1393,4,52,2
1394,2,50,2
1395,3,46,1
1396,3,61,1
1397,3,59,1
1398,3,57,1
1399,3,54,1
1400,3,57,1
1401,3,58,1
1402,4,58,2
1403,4,57,2
1404,4,52,2
1405,3,45,1
1406,3,49,1
1407,3,42,1
1408,3,57,1
1409,4,56,2
1410,3,51,1
1411,4,49,2
1412,3,53,1
1413,3,53,1
1414,3,56,1
1415,4,57,2
1416,3,62,1
1417,3,59,1
1418,3,57,1
1419,3,54,1
1420,4,57,2
1421,4,58,2
1422,3,59,1
1423,4,49,2
1424,3,52,1
1425,4,58,2
1426,4,51,2
1427,4,61,2
1428,3,49,1
1429,3,53,1
1430,4,52,2
1431,3,52,1
1432,3,51,1
1433,3,55,1
1434,4,56,2
1435,4,46,2
1436,4,49,2
1437,3,39,1
1438,2,58,1
1439,2,63,1
1440,3,38,1
1441,2,50,1
1442,3,39,1
1443,3,43,1
1444,4,43,2
1445,4,46,2
1446,2,45,2
1447,3,44,1
1448,3,39,1
1449,3,41,1
1450,3,39,1
1451,2,38,1
1452,3,42,1
1453,3,45,1
1454,2,69,1
1455,3,36,1
1456,3,39,1
1457,2,40,1
1458,3,45,1
1459,4,45,2
1460,4,48,2
1461,2,42,2
1462,2,58,1
1463,3,45,1
1464,3,42,1
1465,2,51,1
1466,4,44,2
1467,3,46,1
1468,2,66,2
1469,4,44,2
1470,2,43,1
1471,3,49,1
1472,3,55,1
1473,3,39,1
1474,2,67,1
1475,3,39,1
1476,2,40,1
1477,3,38,1
1478,2,60,1
1479,3,42,1
1480,3,39,1
1481,2,62,1
1482,2,70,1
1483,3,41,1
1484,3,36,1
1485,3,58,1
1486,2,42,1
1487,3,51,1
1488,3,44,1
1489,2,46,1
1490,3,38,1
1491,3,55,1
1492,4,39,2
1493,3,41,1
1494,3,42,1
1495,3,46,1
1496,3,39,1
1497,3,38,1
1498,3,44,1
1499,3,42,1
1500,2,61,1
1501,4,41,2
1502,3,51,1
1503,3,38,1
1504,4,41,2
1505,3,36,1
1506,3,38,1
1507,2,46,1
1508,4,39,2
1509,3,44,1
1510,3,38,1
1511,3,43,1
1512,3,49,1
1513,3,44,1
1514,3,39,1
1515,3,41,1
1516,3,42,1
1517,2,46,1
1518,3,39,1
1519,3,46,1
1520,4,39,2
1521,3,44,1
1522,3,38,1
1523,3,43,1
1524,3,49,1
1525,2,57,1
1526,3,54,1
1527,3,50,1
1528,3,36,1
1529,3,51,1
1530,3,42,1
1531,3,60,1
1532,3,22,1
1533,3,44,1
1534,3,40,1
1535,4,48,2
1536,3,42,1
1537,2,49,2
1538,2,25,2
1539,2,71,1
1540,3,41,1
1541,3,46,1
1542,3,40,1
1543,2,56,1
1544,3,37,1
1545,3,42,1
1546,2,75,1
1547,2,52,1
1548,2,47,1
1549,3,45,1
1550,3,53,1
1551,3,39,1
1552,3,45,1
1553,2,54,2
1554,2,58,1
1555,2,73,1
1556,3,44,1
1557,2,52,1
1558,2,72,1
1559,3,61,1
1560,3,38,1
1561,3,47,1
1562,3,35,1
1563,3,35,1
1564,3,41,1
1565,2,40,1
1566,3,39,1
1567,3,36,1
1568,3,34,1
1569,3,43,1
1570,3,34,1
1571,3,43,1
1572,4,36,2
1573,3,36,1
1574,2,37,2
1575,3,45,1
1576,3,32,1
1577,2,65,1
1578,3,45,1
1579,3,36,1
1580,3,38,1
1581,3,34,1
1582,3,50,1
1583,2,50,1
1584,4,40,2
1585,2,70,1
1586,3,53,1
1587,3,48,1
1588,2,47,1
1589,2,35,1
1590,3,45,1
1591,2,45,1
1592,2,39,1
1593,3,42,1
1594,2,50,1
1595,2,43,1
1596,3,50,1
1597,3,39,1
1598,3,38,1
1599,3,38,1
1600,3,39,1
1601,3,48,1
1602,3,38,1
1603,3,41,1
1604,3,25,1
1605,3,68,1
1606,3,37,1
1607,2,70,1
1608,2,33,1
1609,3,58,1
1610,4,39,2
1611,4,38,2
1612,2,68,1
1613,3,36,1
1614,2,45,1
1615,2,56,1
1616,3,41,1
1617,3,48,1
1618,3,46,1
1619,3,35,1
1620,3,38,1
1621,3,38,1
1622,3,38,1
1623,2,51,1
1624,2,40,2
1625,3,42,1
1626,3,48,1
1627,4,36,2
1628,3,65,1
1629,3,33,1
1630,3,40,1
1631,2,46,1
1632,3,40,1
